射手座	'summary': '学会取舍&nbsp;重塑人生对大多数射手座而言，未来一年将是在痛苦历练之后终于学会取舍，压力之下重塑人生的一年。过去两年，射手座经历了土星的碾压，人生的各方面都备受考验，虽然也被推上重要位置或是获得他人认可，但很多原来行之有效的方式却变得不那么好用，“打猎”也是频频失手，让你们必须学会另一套更加经济有效的务实方式。2017年，土星虽然还会几乎全年停留在射手座，但却与表现宫的天王星联动，让射手座有望突破自身限制，创新出一套独特的方式去继续挑战世界，不论是自身还是情感状态都会大不一样。，但也注意，当下的你需要学会低下头先看清楚自身所处环境，才可能真正再未来的目标与眼前的现实相结合，另辟蹊径走出一条“少有人走的路”，用自己的方式去实现自我，利用他人助力实现双赢，并为之后的重新出发做好准备。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%B0%84%E6%89%8B%E5%BA%A7&ie=utf8&_sug_=y&_sug_type_=&w=01019900&sut=4733&sst0=1500469468269&lkt=0%2C0%2C0   公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%B0%84%E6%89%8B%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

天秤座	'summary': '把握机会&nbsp;从小做起对天秤座来说，未来一年将是需要把握机会，尝试从小做起，颠覆过往的一年。从2010年开始，很多天秤座的生活彻底颠覆，原有的一切都已支离破碎，你们习惯了伏低做小，早就忘了当年的风光。但随着木星进入命宫，这也将是你们终于开始翻身的一年。因为过去几年折腾得太厉害，原有的基础已经无法再用，你们必须学会放下对过去的留恋，清楚认识到自己的现状，不以善小而不为，从身边的人和事做起，借助合作之力帮助自己东山再起。直到8月底之前，木土六合相位都会持续作用你们的命宫和亲友宫，所以你可以尝试把关注点放在身边那些可能曾经不起眼的人和机会上，凡事亲力亲为，多沟通多吆喝，尝试把现有人脉理顺，才能逐渐发现最适合自己的领域和机会在哪里。8月的两次日月食也将引动你们的恋情与交友宫位，或是怀孕生子，或是经由进入新的朋友圈和群体，实现个人层次的升华，或是被贵人提携终于找到自己合适的位置。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%A4%A9%E7%A7%A4%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=  公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%A4%A9%E7%A7%A4%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

摩羯座	'summary': '隐忍数年&nbsp;终成大器对大多数摩羯座而言，未来一年将是数年隐忍之后，终究修成神功的一年。在明年，摩羯座的命主星土星还将在自身的因果宫内停留将近一年，这意味着虽然成功在望，但大多数时候你们还是要继续修炼忍者神功，压住自己内心的疑问和迷茫，坚持将手头事情做好，不让心情影响现有的基本盘。但另一方面，木星会在事业宫照耀，也让你们的能见度和成功率都大大提升，也许你还是觉得大材小用或是当下做的并不是自己最理想的工作，但结果却非常喜人，也会给后续带来更多多元发展的机会。土天冲也会持续影响你的家宅宫，部分摩羯座会购置房产或是转换地方（搬到另外一个城市乃至国家），另一些摩羯座则会发现自己曾经的认知再度经历巨变，只有改变现有的内在状态，才可能实现下一步。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E6%91%A9%E7%BE%AF%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=  公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E6%91%A9%E7%BE%AF%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

水瓶座	'summary': '放平心态&nbsp;选择未来对大多数水瓶座而言，未来一年是不缺风光，却需要自己放平心态，为未来做出选择的一年。命主星土星还将在你们的朋友宫和愿望宫停留几乎整年，你将继续检验和审视自己的朋友圈，抛离“不良资产”，只选择那些与你可以真正“同甘苦共富贵”的朋友共同前进。木天拱持续作用你的人际宫位，也将改变你过去两年一贯深居简出的状态，令当下被无形“禁锢”的状态终于破局，有选择地活跃于各个社交舞台之上，并借助他人之力实现个人价值和水平的提升。对水瓶座来说，难点将不在外界环境好坏（因为已经在2016年形成良性循环），而在于自己可否以坦然心态接受他人的好意，以及明白不切实际的想法必须抛弃才可能更好地出发。木星持续发力也会让你更加明确自己应该选择怎样的方向，抽丝剥茧只留下那些真正适合自己的选择和内涵，进入真正合适自身的领域，尤其利好出版、旅行、考试、出国、高等教育等等行业。
搜狗搜索公众号文章:http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E6%B0%B4%E7%93%B6%E5%BA%A7&ie=utf8&_sug_=y&_sug_type_=&w=01019900&sut=32047&sst0=1500470065909&lkt=1%2C1500470065760%2C1500470065760   公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E6%B0%B4%E7%93%B6%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

双鱼座	'summary': '携手共进&nbsp;事业冲顶对大多数双鱼座而言，未来一年将是忙碌却充实，磕磕碰碰中触碰天际的一年。土星在双鱼座的事业宫已经停留了将近2年时间，也让双鱼们吃了不少苦头，原来很轻松的工作变得要求高高，或是被委以重任必须每一件事都全身心投入努力才可能看到成绩，但也是你们实现自我价值和社会地位的重要环节。尤其来到2017年，土天冲持续作用令事业宫与财帛宫联动，使得你们的付出很容易转换成物质回报。命主星木星在危机宫却为事业宫提供支持，很多双鱼座会担任起救火队长的工作，成为支援队伍中的中流砥柱，或是依靠自己良好的人脉为他人铺路，同时获得正反馈实现个人职位和价值的提升，并有望突破阶层的天花板，进入更加高大上的层次，实现自我价值的飞跃。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%8F%8C%E9%B1%BC%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=   公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%8F%8C%E9%B1%BC%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

天蝎座	'summary': '耐心等待&nbsp;化茧成蝶对天蝎座来说，未来一年将是需要坚定心智，耐心等待，才能最终化茧成蝶的一年。木星会在天秤座呆到10月10日之后再进入天蝎座，这意味着未来一年大多数时间里，木星都在天蝎座的因果宫内停留，很多天蝎座都必须耐下性子为过去做出的决定或是埋下的伏笔承担后果和被动接受，或是遭遇流言蜚语的困扰。明明看到很好的机会，却只能听凭他人差遣身不由己，实在不太好受。部分天蝎座也会因为子女问题而辛苦忙碌，倒也算是甜蜜的负担。事业和名誉虽然持续攀升，但内心的感受恐怕还会有些憋屈。但只要天蝎们能够隐忍自身的负面情绪，心甘情愿将那些自己不太愿意接手的事情顺利结束，等待10月木星进入命宫之后，你们将扬眉吐气一跃成为谁都无法打败的对象。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%A4%A9%E8%9D%8E%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=   公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%A4%A9%E8%9D%8E%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

处女座	'summary': '潜心修行&nbsp;收获成就对很多处女座来说，这将是表面平淡，其实却收获颇丰的一年。过去一年，木星在你们的命宫徘徊，也让很多处女座更加勇敢做自己，为自己的人生选择一些不一样的人生，或是独立旅行，或是回归家庭为另一半洗手作羹汤。今年木星将在财帛宫一直停留到10月，也让你们有更多的机会获得付出后的回报，或是自己打造的形象成功获得众人认可因此顺利捞金，或是你的付出被另一半认可也会给予你经济上的支持。而来源于家人的协助也会帮助你顺利度过资金和合作上的困难期，或是以个人房产为依托解决当下的资金周转问题。总体而言，4月底北交点离开命宫之后，你的生活将明显变得轻松起来，很多事情不再需要亲力亲为，学会给予他人成长机会，也给自己休息空间享受成果将是下一个学习主题。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%A4%84%E5%A5%B3%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=   公众号：无

狮子座	'summary': '梦想成真&nbsp;自由放飞对大多数狮子座而言，未来一年将是梦想成真，终于扬眉吐气自由放飞的一年。过去两年，很多狮子座都因为定下了某个所有人都不看好的梦想而备受嘲笑和煎熬。但在近期，这个看似不可实现的梦想将因为你们坚忍不懈的努力终于成为现实，让所有人跌破眼镜。土天拱会持续作用在你们的梦想实现宫位，也让狮子们可以持续发力大展拳脚，一鼓作气更上一层楼。但毕竟木星还在狮子座星盘中相对弱势的位置徘徊，你也必须着眼实际，从眼前的小事做起，注意一些你平时懒于搭理的人际关系，注意团队建设，多写多练才将有机会让自己的意见影响他人，从而实现个人权威地位的建立。4月底开始，月亮北交点也将移位狮子座的命宫与合作婚姻宫轴线，一些狮子座将面临情感关系的挑战，或是因为自己提升太快而不想再妥协于一段过气关系中，或是进入一段相对独特的关系之中。等到10月10日木星进入天蝎之后，你将更加关注自己的内心需求与渴望，或是买房让自己安定下来，或是为另一半做出某种牺牲与取舍，以寻求最理想的情感关系。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E7%8B%AE%E5%AD%90%E5%BA%A7&ie=utf8&_sug_=y&_sug_type_=&w=01019900&sut=55697&sst0=1500470508728&lkt=0%2C0%2C0  公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E7%8B%AE%E5%AD%90%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

巨蟹座	'summary': '自我完善&nbsp;崛起在即对大多数巨蟹座而言，未来一年将是厚积薄发，蓄力崛起的一年。过去几年，大多数巨蟹座都过着充满压抑和憋屈的日子，必须承担来自外界和生活的压力，多重压力一身担却无处找人诉苦。很多巨蟹座虽然之前已经以崭新姿态出现在大家眼前被人熟识，却多数因为家人和健康问题拖累而突然淡出，成为江湖中遥远的传说。但在2017年，木星会帮助你解决一些内部问题，让你在婚姻、家庭和事业中找到平衡点，让你有望摆脱一部分来源于合作和配偶的负担，轻装上阵做回自己。土天拱也一直作用在你的工作宫位，过去几年默默所做的努力都可能从量变到质变实现个人的飞跃与突破。虽然土星的运势总是让人无法轻松，但若你能在隐忍中认真依次处理，你所做的努力也将慢慢促成一个良性结果&nbsp;，并在最后帮助你走上高位，或是以专业能力被人认可，成为独特且不可替代的存在。除此之外，让你纠结已久的未来发展问题也会因为实际中的目标渐渐清晰而不再惶惑，你也会明白不能一味帮他人承担责任，只有多为自己打算，才能真正走出困境。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%B7%A8%E8%9F%B9%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=  公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%B7%A8%E8%9F%B9%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

双子座	'summary': '大局初定&nbsp;唯我精彩对双子座来说，未来一年将是格局初定轮廓，勇敢表现自我的一年。土星已经在双子座的人际合作宫位停留两年，逼着双子们不得不以高标准严要求提升自己，不知不觉中已经脱胎换骨，到达自己都不曾想过的高度。而在土星停留对宫的最后一年，你将继续借力打力，通过合作助力进入更高的层次和圈子。与此同时，前三季度木星将会在表现宫内持续发力，让你们的人生绝对不乏精彩，不论是事业还是感情都不缺故事。持续数月的木冥刑也会让你在感情路上面临选择，如何与另一半找到共同的价值观是感情关系能否维持下去的关键因素。2017年，你们也将基本完成个人性格和认知的整合，选择最合适的领域成为所有人都无法忽略的新星，事业脉络将更加清晰，原有的纷纷扰扰和诸多插曲都可以逐渐平息，你所需要做的只是坚定自己的内心，不要被花花世界模糊双眼，明白到底自己的优势在哪里，选定最恰当的方向集中发力才能最快完成个人进阶。
http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%8F%8C%E5%AD%90%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=   公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%8F%8C%E5%AD%90%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

金牛座	'summary': '自我调整&nbsp;接受改变对很多金牛座而言，这将是命运之轮向前推动，再也难以逃离改变，不如勇敢面对的一年。天王星已经在金牛座的因果宫内停留将近6年，也让很多人的生活在最近几年风云变幻，完全走向另一种陌生的状态。即便这一变化是往好的方向改变，金牛座固有的抗拒变化的心态会让很多人即便生活已经改变，心态上却还未能完全适应，以至于行为与现状有些格格不入。而在未来一年，因为土天拱持续发力，你会感受到来自另一半和外界的压力，再不改变就可能失去手中已有的一切，现实将逼着你必须做出选择，放下保守心态，明白跟上时代，以开阔的心情真正从内心接受现实才可能真正搭上时代快车。8月的日月食将影响到你们的家宅宫，或要在事业和家庭间做出取舍。木星在生活工作宫停留大半年，也会让你生活和工作都有很多事情要做，忙碌同时注意保重身体，但也是治疗各类慢性病的良好时机。10月之后木星进入配偶合作宫位，人气急升，是拓展事业、情感的好时机。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&query=%E9%87%91%E7%89%9B%E5%BA%A7&ie=utf8&s_from=input&_sug_=y&_sug_type_=   公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E9%87%91%E7%89%9B%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

白羊座	'summary': '超越自我&nbsp;梦想咫尺对白羊座来说，未来一年将是终于超越自我，找到实现梦想阶梯的一年。很多白羊座在过去一年一直被各种生活琐事、理念冲突乃至健康问题困扰，很难真正厘清头绪，明白自己到底在追求什么。而跨越2017年全年的土天拱相位将用事实推动你们的人生，让走出琐事牵绊的你们终于明白自己的梦想到底是什么，又要通过怎样的途径才能够真正实现，而此前做出的进修、出国、移民乃至自我放逐的决定都通过日积月累终于看出效果，并推动你主动改变自身获得新生。但注意木冥刑也会一直作用在合作伴侣宫和事业宫之间，事业与合作以及工作与伴侣之间的冲突也将是难以忽略的主题。除此之外，木星移位在天秤座的大半年也会给你带来很多友好务实的合作机会，你需要从中选出真正适合自己的对象，通过合作之力帮助自己更快踏上进阶的台阶，为未来人生的飞跃做好最后的冲刺。10月10日木星进入天蝎座之后将相对被动，重要事件最好在第四季度之前完成布局。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E7%99%BD%E7%BE%8A%E5%BA%A7&ie=utf8&_sug_=y&_sug_type_=&w=01019900&sut=11412&sst0=1500469229659&lkt=0%2C0%2C0      公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E7%99%BD%E7%BE%8A%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=
